Period,From Date,To Date,MAPE,SMAPE,MAE,RMSE,COV,CE,IS
1,2018-06-05,2018-06-18,9.141,8.485,4.178,5.914,100.000,5.000,148.946
2,2018-06-08,2018-06-21,19.455,16.666,8.616,11.587,100.000,5.000,5537.499
3,2018-06-15,2018-06-28,9.968,10.999,4.241,5.694,100.000,5.000,18608.822
4,2018-06-17,2018-06-30,23.791,20.827,10.567,11.835,100.000,5.000,21526.966
5,2018-06-18,2018-07-01,26.792,23.246,11.930,13.017,98.214,3.214,63053.487
6,2018-06-19,2018-07-02,19.959,26.410,8.729,12.470,100.000,5.000,64425.223
7,2018-07-06,2018-07-19,13.119,11.827,6.893,9.250,100.000,5.000,123.706
8,2018-07-22,2018-08-04,74.353,45.910,39.850,55.980,99.107,4.107,275385.110
9,2018-07-26,2018-08-08,4.017,3.916,2.062,2.567,100.000,5.000,19571.775
10,2018-08-03,2018-08-16,17.044,402.920,8.100,15.756,97.917,2.917,3934.890
11,2018-08-11,2018-08-24,30.706,91.275,15.009,23.822,99.107,4.107,3127.817
12,2018-09-19,2018-10-02,64.335,255.885,16.940,28.463,100.000,5.000,5718.091
13,2018-09-29,2018-10-12,10.845,10.272,4.535,5.650,99.702,4.702,1814074.346
14,2018-10-12,2018-10-25,39.092,18.527,5.558,8.971,100.000,5.000,31733102709852389376.000
15,2018-10-18,2018-10-31,13.733,14.100,5.345,6.834,100.000,5.000,1269218.519
16,2018-11-13,2018-11-26,7.559,8.071,4.063,5.871,100.000,5.000,310.477
17,2018-12-15,2018-12-28,70.678,41.612,37.213,58.484,99.702,4.702,331838254.373
18,2018-12-20,2019-01-02,9.893,9.107,4.683,6.197,100.000,5.000,3754.003
19,2019-01-11,2019-01-24,18.833,22.035,11.136,14.349,100.000,5.000,13497566.823
20,2019-01-18,2019-01-31,15.723,17.300,9.489,10.765,100.000,5.000,251317204.063
21,2019-01-20,2019-02-02,37.428,28.310,20.909,28.545,100.000,5.000,365082031.229
22,2019-01-31,2019-02-13,7.778,7.695,3.815,4.579,100.000,5.000,526.832
23,2019-02-08,2019-02-21,20.379,30.797,8.666,13.914,100.000,5.000,130.102
24,2019-02-12,2019-02-25,22.640,34.860,9.299,14.341,100.000,5.000,108.982
25,2019-03-08,2019-03-21,5.573,5.817,2.392,3.105,100.000,5.000,84962.005
26,2019-03-22,2019-04-04,24.167,36.890,9.028,13.282,99.702,4.702,103542.902
27,2019-04-02,2019-04-15,16.677,18.910,7.268,8.731,97.024,2.024,205.865
28,2019-04-11,2019-04-24,16.455,14.013,6.534,9.685,88.393,6.607,87.565
29,2019-05-02,2019-05-15,96.732,851.648,37.349,52.093,100.000,5.000,310173843.046
30,2019-05-03,2019-05-16,17.241,19.366,6.899,8.099,100.000,5.000,5137313153.610
