Period,Date,Hour,System Price,Forecast,Upper,Lower
1,2018-06-05,00:00:00,42.660,42.741,45.061,40.421
1,2018-06-05,01:00:00,41.010,41.373,44.921,37.825
1,2018-06-05,02:00:00,39.440,40.449,44.701,36.197
1,2018-06-05,03:00:00,39.350,40.119,44.752,35.487
1,2018-06-05,04:00:00,39.050,40.175,45.008,35.341
1,2018-06-05,05:00:00,41.630,41.746,46.687,36.806
1,2018-06-05,06:00:00,45.900,44.998,49.998,39.998
1,2018-06-05,07:00:00,46.840,46.421,51.458,41.385
1,2018-06-05,08:00:00,46.920,47.159,52.219,42.099
1,2018-06-05,09:00:00,47.070,47.231,52.308,42.153
1,2018-06-05,10:00:00,47.240,47.084,52.176,41.991
1,2018-06-05,11:00:00,47.520,46.882,51.987,41.777
1,2018-06-05,12:00:00,47.500,46.549,51.666,41.433
1,2018-06-05,13:00:00,47.080,46.296,51.424,41.169
1,2018-06-05,14:00:00,46.880,45.759,50.898,40.621
1,2018-06-05,15:00:00,46.610,45.491,50.641,40.342
1,2018-06-05,16:00:00,46.450,45.393,50.553,40.233
1,2018-06-05,17:00:00,46.970,45.987,51.158,40.817
1,2018-06-05,18:00:00,47.820,46.756,51.937,41.575
1,2018-06-05,19:00:00,48.200,46.897,52.090,41.705
1,2018-06-05,20:00:00,47.540,46.509,51.713,41.306
1,2018-06-05,21:00:00,47.160,46.279,51.493,41.064
1,2018-06-05,22:00:00,47.320,45.883,51.109,40.658
1,2018-06-05,23:00:00,44.910,43.708,48.944,38.472
1,2018-06-06,00:00:00,44.990,43.356,48.623,38.089
1,2018-06-06,01:00:00,42.280,41.919,47.245,36.592
1,2018-06-06,02:00:00,41.240,40.994,46.371,35.617
1,2018-06-06,03:00:00,41.680,40.639,46.054,35.223
1,2018-06-06,04:00:00,41.750,40.705,46.150,35.259
1,2018-06-06,05:00:00,44.640,42.186,47.655,36.718
1,2018-06-06,06:00:00,47.390,45.110,50.598,39.622
1,2018-06-06,07:00:00,48.420,46.621,52.126,41.117
1,2018-06-06,08:00:00,49.020,47.425,52.945,41.905
1,2018-06-06,09:00:00,49.420,47.499,53.033,41.965
1,2018-06-06,10:00:00,49.930,47.338,52.886,41.789
1,2018-06-06,11:00:00,49.920,47.127,52.688,41.565
1,2018-06-06,12:00:00,48.570,46.761,52.336,41.187
1,2018-06-06,13:00:00,47.860,46.498,52.086,40.910
1,2018-06-06,14:00:00,47.870,45.919,51.521,40.318
1,2018-06-06,15:00:00,47.820,45.647,51.261,40.032
1,2018-06-06,16:00:00,48.320,45.566,51.194,39.938
1,2018-06-06,17:00:00,48.430,46.158,51.799,40.517
1,2018-06-06,18:00:00,49.080,46.965,52.620,41.310
1,2018-06-06,19:00:00,49.360,47.121,52.789,41.452
1,2018-06-06,20:00:00,48.330,46.719,52.402,41.037
1,2018-06-06,21:00:00,48.260,46.484,52.181,40.788
1,2018-06-06,22:00:00,47.470,46.057,51.768,40.345
1,2018-06-06,23:00:00,45.170,43.864,49.589,38.139
1,2018-06-07,00:00:00,44.390,43.903,49.681,38.124
1,2018-06-07,01:00:00,42.530,42.452,48.263,36.641
1,2018-06-07,02:00:00,41.720,41.524,47.364,35.683
1,2018-06-07,03:00:00,41.480,41.164,47.030,35.299
1,2018-06-07,04:00:00,40.810,41.231,47.119,35.344
1,2018-06-07,05:00:00,43.970,42.710,48.616,36.804
1,2018-06-07,06:00:00,47.910,45.611,51.534,39.688
1,2018-06-07,07:00:00,50.910,47.138,53.076,41.199
1,2018-06-07,08:00:00,52.230,47.951,53.905,41.998
1,2018-06-07,09:00:00,51.100,48.026,53.995,42.058
1,2018-06-07,10:00:00,50.330,47.863,53.845,41.880
1,2018-06-07,11:00:00,49.770,47.650,53.647,41.653
1,2018-06-07,12:00:00,48.910,47.280,53.290,41.269
1,2018-06-07,13:00:00,48.640,47.015,53.039,40.990
1,2018-06-07,14:00:00,48.650,46.429,52.467,40.390
1,2018-06-07,15:00:00,49.110,46.154,52.207,40.102
1,2018-06-07,16:00:00,49.130,46.075,52.142,40.008
1,2018-06-07,17:00:00,49.310,46.669,52.750,40.588
1,2018-06-07,18:00:00,49.740,47.484,53.579,41.388
1,2018-06-07,19:00:00,49.850,47.642,53.752,41.532
1,2018-06-07,20:00:00,49.530,47.237,53.363,41.112
1,2018-06-07,21:00:00,49.440,47.001,53.142,40.860
1,2018-06-07,22:00:00,49.210,46.568,52.725,40.411
1,2018-06-07,23:00:00,46.500,44.364,50.537,38.192
1,2018-06-08,00:00:00,46.010,43.430,49.519,37.340
1,2018-06-08,01:00:00,42.710,42.005,48.125,35.886
1,2018-06-08,02:00:00,42.280,41.094,47.241,34.947
1,2018-06-08,03:00:00,43.090,40.741,46.911,34.570
1,2018-06-08,04:00:00,43.350,40.807,46.998,34.616
1,2018-06-08,05:00:00,46.300,42.257,48.467,36.048
1,2018-06-08,06:00:00,49.330,45.101,51.327,38.875
1,2018-06-08,07:00:00,52.040,46.601,52.843,40.358
1,2018-06-08,08:00:00,54.520,47.400,53.657,41.143
1,2018-06-08,09:00:00,53.900,47.474,53.746,41.202
1,2018-06-08,10:00:00,53.640,47.313,53.600,41.027
1,2018-06-08,11:00:00,52.870,47.104,53.405,40.803
1,2018-06-08,12:00:00,49.950,46.740,53.055,40.425
1,2018-06-08,13:00:00,49.850,46.480,52.809,40.151
1,2018-06-08,14:00:00,49.620,45.904,52.248,39.561
1,2018-06-08,15:00:00,48.770,45.635,51.993,39.277
