Period,From Date,To Date,MAPE,SMAPE,MAE,RMSE,COV,CE,IS
1,2018-06-05,2018-06-18,4.901,4.916,2.236,2.847,99.107,4.107,15.583
2,2018-06-08,2018-06-21,9.802,9.171,4.271,5.348,99.107,4.107,20.190
3,2018-06-15,2018-06-28,5.098,5.100,2.193,2.614,100.000,5.000,35.849
4,2018-06-17,2018-06-30,8.949,8.387,3.773,4.559,99.405,4.405,37.668
5,2018-06-18,2018-07-01,16.162,14.797,6.976,7.339,91.071,3.929,39.309
6,2018-06-19,2018-07-02,7.959,8.324,3.604,4.313,99.702,4.702,37.095
7,2018-07-06,2018-07-19,5.757,5.539,2.940,3.625,97.917,2.917,14.527
8,2018-07-22,2018-08-04,7.848,7.494,4.106,4.503,98.810,3.810,44.730
9,2018-07-26,2018-08-08,4.458,4.324,2.281,2.838,99.702,4.702,34.905
10,2018-08-03,2018-08-16,4.323,4.225,2.097,2.632,99.405,4.405,25.733
11,2018-08-11,2018-08-24,7.112,7.451,3.598,4.148,98.512,3.512,20.054
12,2018-09-19,2018-10-02,63.515,24.604,8.436,11.997,80.952,14.048,114.515
13,2018-09-29,2018-10-12,11.792,10.822,4.855,5.960,99.702,4.702,181.705
14,2018-10-12,2018-10-25,47.626,19.476,6.736,10.217,97.619,2.619,155.558
15,2018-10-18,2018-10-31,11.838,11.278,4.422,5.881,100.000,5.000,140.101
16,2018-11-13,2018-11-26,8.037,8.614,4.333,6.227,97.321,2.321,32.791
17,2018-12-15,2018-12-28,10.342,9.935,5.565,6.688,96.131,1.131,49.106
18,2018-12-20,2019-01-02,8.719,8.098,4.100,5.523,100.000,5.000,60.330
19,2019-01-11,2019-01-24,11.950,13.207,7.232,9.921,100.000,5.000,93.262
20,2019-01-18,2019-01-31,12.767,13.923,7.839,9.513,99.107,4.107,93.492
21,2019-01-20,2019-02-02,12.763,12.052,7.270,8.374,100.000,5.000,139.151
22,2019-01-31,2019-02-13,11.553,10.646,5.642,6.860,100.000,5.000,53.372
23,2019-02-08,2019-02-21,4.834,4.717,2.164,2.485,100.000,5.000,13.939
24,2019-02-12,2019-02-25,4.189,4.108,1.809,2.180,100.000,5.000,15.107
25,2019-03-08,2019-03-21,6.968,7.328,3.014,3.715,100.000,5.000,71.369
26,2019-03-22,2019-04-04,3.917,3.874,1.485,1.989,99.405,4.405,42.850
27,2019-04-02,2019-04-15,14.821,16.444,6.501,7.720,91.369,3.631,26.321
28,2019-04-11,2019-04-24,9.196,8.448,3.578,5.278,85.417,9.583,35.189
29,2019-05-02,2019-05-15,38.910,41.063,13.568,14.470,98.214,3.214,108.197
30,2019-05-03,2019-05-16,13.679,14.664,5.499,6.181,100.000,5.000,119.163
